Name,State,Saffir-Simpson,Date of closest approach,Year
Unnamed,North Carolina,Category 1 hurricane,26-Aug,1924
Unnamed,North Carolina,Category 1 hurricane,23-Aug,1933
Unnamed,North Carolina,Category 2 hurricane,16-Sep,1933
Unnamed,North Carolina,Category 1 hurricane,9-Sep,1934
Unnamed,North Carolina,Category 1 hurricane,18-Sep,1936
Unnamed,North Carolina,Category 1 hurricane,1-Aug,1944
Unnamed,North Carolina,Category 2 hurricane,14-Sep,1944
Unnamed,North Carolina,Category 1 hurricane,24-Aug,1949
Barbara,North Carolina,Category 1 hurricane,14-Aug,1953
Carol,North Carolina,Category 1 hurricane,31-Aug,1954
,North Carolina,[notes 2],,
Edna,North Carolina,Category 1 hurricane,11-Sep,1954
,North Carolina,[notes 2],,
Hazel,North Carolina,Category 4 hurricane,15-Oct,1954
Connie,North Carolina,Category 2 hurricane,12-Aug,1955
Ione,North Carolina,Category 2 hurricane,19-Sep,1955
Helene,North Carolina,Category 3 hurricane,27-Sep,1958
Donna,North Carolina,Category 2 hurricane,12-Sep,1960
Ginger,North Carolina,Category 1 hurricane,30-Sep,1971
Diana,North Carolina,Category 2 hurricane,13-Sep,1984
Gloria,North Carolina,Category 3 hurricane,27-Sep,1985
Charley,North Carolina,Category 1 hurricane,17-Aug,1986
Hugo,North Carolina,Category 1 hurricane,22-Sep,1989
Emily,North Carolina,Category 3 hurricane,31-Aug,1993
Bertha,North Carolina,Category 2 hurricane,12-Jul,1996
Fran,North Carolina,Category 3 hurricane,6-Sep,1996
Bonnie,North Carolina,Category 2 hurricane,27-Aug,1998
Floyd,North Carolina,Category 2 hurricane,16-Sep,1999
Irene,North Carolina,Category 2 hurricane,18-Oct,1999
,North Carolina,[notes 2],,
Isabel,North Carolina,Category 2 hurricane,18-Sep,2003
Alex,North Carolina,Category 1 hurricane,3-Aug,2004
Charley,North Carolina,Category 1 hurricane,14-Aug,2004
Ophelia,North Carolina,Category 1 hurricane,14-Sep,2005
Irene,North Carolina,Category 1 hurricane,27-Aug,2011
Arthur,North Carolina,Category 2 hurricane,4-Jul,2014
Matthew,North Carolina,Category 1 hurricane,8-Oct,2016
Florence,North Carolina,Category 1 hurricane,14-Sep,2018
Dorian,North Carolina,Category 1 hurricane,6-Sep,2019
Unnamed,Rhode Island,Category 1 hurricane,16-Sep,1858
Unnamed,Rhode Island,Category 1 hurricane,8-Sep,1869
Unnamed,Rhode Island,Category 1 hurricane,10-Oct,1894
Unnamed,Rhode Island,Category 1 hurricane,10-Sep,1896
Unnamed,Rhode Island,Category 3 hurricane,21-Sep,1938
Unnamed,Rhode Island,Category 2 hurricane,15-Sep,1944
Carol,Rhode Island,Category 3 hurricane,31-Aug,1954
Edna,Rhode Island,Category 1 hurricane,11-Sep,1954
Donna,Rhode Island,Category 1 hurricane,12-Sep,1960
Bob,Rhode Island,Category 2 hurricane,19-Aug,1991
Unnamed,South Carolina,Category 2 hurricane,8-Sep,1854
Unnamed,South Carolina,Category 1 hurricane,22-Jun,1867
Unnamed,South Carolina,Category 1 hurricane,28-Sep,1874
Unnamed,South Carolina,Category 1 hurricane,12-Sep,1878
Unnamed,South Carolina,Category 1 hurricane,28-Aug,1881
Unnamed,South Carolina,Category 1 hurricane,11-Sep,1883
Unnamed,South Carolina,Category 3 hurricane,25-Aug,1885
Unnamed,South Carolina,Category 3 hurricane,28-Aug,1893
Unnamed,South Carolina,Category 3 hurricane,13-Oct,1893
Unnamed,South Carolina,Category 1 hurricane,27-Sep,1894
Unnamed,South Carolina,Category 1 hurricane,29-Sep,1896
Unnamed,South Carolina,Category 1 hurricane,31-Aug,1898
Unnamed,South Carolina,Category 2 hurricane,31-Oct,1899
Unnamed,South Carolina,Category 1 hurricane,14-Sep,1904
Unnamed,South Carolina,Category 1 hurricane,17-Sep,1906
Unnamed,South Carolina,Category 2 hurricane,28-Aug,1911
Unnamed,South Carolina,Category 1 hurricane,8-Oct,1913
Unnamed,South Carolina,Category 2 hurricane,14-Jul,1916
Unnamed,South Carolina,Category 1 hurricane,18-Sep,1928
Unnamed,South Carolina,Category 2 hurricane,11-Aug,1940
Unnamed,South Carolina,Category 2 hurricane,15-Oct,1947
Able,South Carolina,Category 2 hurricane,31-Aug,1952
Hazel,South Carolina,Category 4 hurricane,15-Oct,1954
Cindy,South Carolina,Category 1 hurricane,9-Jul,1959
Gracie,South Carolina,Category 4 hurricane,29-Sep,1959
David,South Carolina,Category 2 hurricane,4-Sep,1979
Bob,South Carolina,Category 1 hurricane,25-Jul,1985
Hugo,South Carolina,Category 4 hurricane,22-Sep,1989
Charley,South Carolina,Category 1 hurricane,14-Aug,2004
Gaston,South Carolina,Category 1 hurricane,29-Aug,2004
Matthew,South Carolina,Category 1 hurricane,8-Oct,2016
Unnamed,Texas,Category 1 hurricane,25-Jun,1851
Unnamed,Texas,Category 1 hurricane,26-Jun,1854
Unnamed,Texas,Category 2 hurricane,18-Sep,1854
Unnamed,Texas,Category 1 hurricane,13-Sep,1865
Unnamed,Texas,Category 2 hurricane,15-Jul,1866
Unnamed,Texas,Category 1 hurricane,2-Oct,1867
Unnamed,Texas,Category 2 hurricane,17-Aug,1869
Unnamed,Texas,Category 3 hurricane,16-Sep,1875
Unnamed,Texas,Category 2 hurricane,23-Aug,1879
Unnamed,Texas,Category 3 hurricane,13-Aug,1880
Unnamed,Texas,Category 2 hurricane,14-Jun,1886
Unnamed,Texas,Category 4 hurricane,20-Aug,1886
Unnamed,Texas,Category 1 hurricane,23-Sep,1886
Unnamed,Texas,Category 2 hurricane,12-Oct,1886
Unnamed,Texas,Category 2 hurricane,21-Sep,1887
Unnamed,Texas,Category 1 hurricane,17-Jun,1888
Unnamed,Texas,Category 1 hurricane,5-Jul,1891
Unnamed,Texas,Category 1 hurricane,30-Aug,1895
Unnamed,Texas,Category 1 hurricane,13-Sep,1897
Unnamed,Texas,Category 4 hurricane,9-Sep,1900
Unnamed,Texas,Category 2 hurricane,29-Jun,1909
Unnamed,Texas,Category 3 hurricane,21-Jul,1909
Unnamed,Texas,Category 1 hurricane,27-Aug,1909
Unnamed,Texas,Category 2 hurricane,14-Sep,1910
Unnamed,Texas,Category 2 hurricane,16-Oct,1912
Unnamed,Texas,Category 1 hurricane,27-Jun,1913
Unnamed,Texas,Category 4 hurricane,17-Aug,1915
Unnamed,Texas,Category 4 hurricane,18-Aug,1916
Unnamed,Texas,Category 1 hurricane,7-Aug,1918
Unnamed,Texas,Category 3 hurricane,14-Sep,1919
Unnamed,Texas,Category 1 hurricane,22-Jun,1921
Unnamed,Texas,Category 1 hurricane,28-Jun,1929
Unnamed,Texas,Category 4 hurricane,14-Aug,1932
Unnamed,Texas,Category 2 hurricane,7-Aug,1933
Unnamed,Texas,Category 3 hurricane,5-Sep,1933
Unnamed,Texas,Category 2 hurricane,25-Jul,1934
Unnamed,Texas,Category 1 hurricane,27-Jun,1936
Unnamed,Texas,Category 2 hurricane,8-Aug,1940
